インドで本場のカレーなんか食いたいな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_ははっ、失礼ですけど、カレーじゃなくてカリーです！　　　　　　　　　　　　　　　　　　　　　　　　　
乃木坂46の18作目のシングルの「温水」　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_逃げ水な！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
いらっしゃいませこんにちはー！いらっしゃいませこんにちはー！いらっしゃいませこんにちはー！　　　　　_ブックオフか。うっせぇ、何回も。１回でいいんだよ、１回で。　　　　　　　　　　　　　　　　　　　　　
ビッグバーガーを千個？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_業者か、おい。どこに売りに行くの、これ仕入れて。　　　　　　　　　　　　　　　　　　　　　　　　　　
オーライ！オーライ！はい、OKですかー？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_ですかー？ってお前さ、OKかどうかはお前が決めんだろ。　　　　　　　　　　　　　　　　　　　　　　　
すみません、ちょっと道に迷っちゃいました。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_迷うってお前、道1本じゃねーか。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
いらっしゃいませー。何様ですか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_何名様だろ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
最近お前が、高橋をいじめてるって噂が先生の所に出たり入ったりしてるんだよ。　　　　　　　　　　　　　_なんで出たり入ったり...。出してるのお前じゃねーか。　　　　　　　　　　　　　　　　　　　　　　　
お前のいじめの件はなぁ、CIAで問題になってるんだ。　　　　　　　　　　　　　　　　　　　　　　　　_PTAだよ。なんだCIAって。なんで国際的な問題になってんだよ。　　　　　　　　　　　　　　　　　　
今はラーメンがおいしい季節だけど...　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_ずっとうまいわ。春夏秋冬うまいわ。　　　　　　　　　　　　                     
こんにちは！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_こんにちは！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
こんばんは！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_こんばんは                                             
おはよう！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_おはよう　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
負けてもいいから勝ちたいねん                                    _どっちやねん！                                           
徒歩で全国回るわ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_伊能忠敬か！　　　　　　　　　　　           　　　　　　　　　　　　　　　　　　　　　　
ボケて！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　     _俺ツッコミ担当な　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　  
おやつは1000円までです　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_いや高いな　　　　　　 　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　       
もしもし、田中のお宅ですか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_何様だよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
先生、トイレ                                            _先生はトイレじゃありません　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
ナポリタンを一つ、固め濃いめで　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_ラーメンか！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
たぬきうどんをたぬき抜きで！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_たぬきは入ってねえよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
